Category,Genus,Species,Subspecies,Common Name,Number of Donors,Total Number of Samples,Number of Oligosaccharides Identified,Analytical Method,1st Author,Year,PubMed ID,DOI,Link,Oligosaccharides
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,2_0_2_0_0b
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_0_0_0f
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_0_0_0g
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_0_0_0h
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_0_1_0f
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_0_1_0g
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_0_1_0h
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_1_0_0h
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_1_0_0i
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_1_0_0j
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_1_1_0f
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_1_1_0j
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,3_1_1_1_0k
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_1_0_1_0g
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_0_0g
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_0_0h
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_0_0j
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_0_0k
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_0_0l
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_1_0n
Human,Homo,sapien,,Human,unknown,1,>100,LC-MS,Tao,2011,21214271,10.1021/pr1009367,https://pubs.acs.org/doi/10.1021/pr1009367,4_2_0_1_0o
