NCBITaxID,DOI,isomer_ID
9606,10.1021/acs.jafc.1c05872,3_3_1_0_0b
9606,10.1016/bs.accb.2015.08.002,4_2_3_0_0f
9606,10.1021/jf0615810,5_3_1_0_0k
9483,10.1021/pr1009367,4_2_1_1_0w
9606,10.1021/pr101006u,3_1_0_2_0a
9606,10.1016/bs.accb.2015.08.002,4_2_1_0_0n
9768,10.1016/j.cbpb.2006.10.094,3_1_0_1_0c
9838,10.1017/S0007114513003772,3_2_0_0_0d
9606,10.1021/pr100362f,3_1_1_0_0e
9923,10.1016/j.idairyj.2005.02.003,4_2_0_1_0n
9923,10.1021/acs.jafc.6b05104,2_2_0_0_0c
9923,10.1021/acs.analchem.0c00342,1_1_0_1_0b
9825,10.1093/jas/sky212,2_0_0_1_0a
10090,10.1016/j.carbpol.2021.117734,2_0_0_1_0a
9785,10.1016/j.cbpb.2008.01.010,3_1_1_0_0c
9258,10.1093/glycob/cwv010,4_2_2_1_0t
9913,10.1017/S0007114513003772,4_2_0_1_0m
9796,10.1017/S0007114513003772,2_0_0_1_0b
9483,10.1021/pr1009367,4_2_1_0_0c
38626,10.1007/s10719-013-9484-8,2_0_0_1_0a
9940,10.1021/acs.jafc.1c05872,3_0_0_0_0f
1446311,10.1021/acs.analchem.0c00342,3_1_1_0_0c
9913,10.1093/glycob/cwt007,2_0_1_0_0a
9606,10.4052/tigg.1734.1SE,5_3_2_0_0d
9838,10.1017/S0007114513003772,2_0_0_0_1a
1446311,10.1021/acs.analchem.0c00342,3_0_0_2_0e
9606,10.1016/bs.accb.2015.08.002,5_3_0_0_0c
9557,10.1007/s10719-010-9315-0,2_0_0_1_0b
9923,10.1016/j.carbpol.2020.115965,4_2_0_0_0g
9940,10.1021/acs.jafc.1c05872,3_3_0_0_0c
9606,10.1016/bs.accb.2015.08.002,4_2_0_2_0a
9825,10.1093/jas/sky212,3_2_0_0_0g
9825,10.1093/jas/sky212,3_0_0_0_0g
9606,10.1021/jf0615810,8_6_5_3_0a
9606,10.1021/acs.analchem.0c00342,8_6_2_0_0b
9940,10.1017/S0007114513003772,2_0_0_0_1b
9825,10.1021/acs.jafc.6b00497,3_0_0_0_0c
9923,10.1016/j.carbpol.2020.115965,3_0_0_1_1a
9838,10.1017/S0007114513003772,3_1_0_0_0b
9606,10.1021/pr1009367,4_2_1_1_0x
9483,10.1021/pr1009367,4_2_0_0_0o
9796,10.1017/S0007114513003772,2_0_0_0_1a
9825,10.1017/S0007114513003772,3_1_0_0_0b
10117,10.1016/j.carbpol.2021.117734,1_1_0_1_0a
9913,10.1093/glycob/cwt007,3_0_0_0_0e
9838,10.1017/S0007114513003772,1_1_0_1_0b
9940,10.1017/S0007114513003772,2_1_0_1_0c
9606,10.1021/acs.analchem.0c00342,4_2_0_0_0b
9837,10.3168/jds.2010-3151,4_1_0_1_0a
9923,10.1016/j.chroma.2015.09.060,1_1_0_0_1f
9606,10.1016/bs.accb.2015.08.002,4_2_0_2_0h
9825,10.1002/elps.201500471,1_1_1_1_0b
9606,10.1016/bs.accb.2015.08.002,4_2_0_0_0d
9913,10.1093/glycob/cwt007,2_1_0_0_0f
1446311,10.1021/acs.analchem.0c00342,3_2_1_0_0f
9315,10.1007/s10719-012-9372-7,4_1_0_1_0a
10117,10.1016/j.carbpol.2021.117734,3_0_0_1_0e
29139,10.1111/asj.12566,5_0_0_0_0b
9606,10.1016/bs.accb.2015.08.002,6_4_1_0_0g
69298,10.1007/s10719-018-9849-0,3_0_0_0_0d
