Category,Common Name,Order,Family,Genus,Species,Subspecies,NCBILink,NCBITaxID
"Even-toed Ungulates",Yak,Artiodactyla,Bovidae,Bos,grunniens,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=30521,30521
"Non-human primates",Chimpanzee,Primates,Pongidae,Pan,troglodytes,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598,9598
"Non-human primates","Mongoose Lemur",Primates,Lemuridae,Eulemur,mongoz,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=34828,34828
"Even-toed Ungulates",Cow,Artiodactyla,Bovidae,Bos,taurus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9913,9913
Muridae,Mouse,Rodentia,Muridae,Mus,"not specified","",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090,10090
"Even-toed Ungulates","Yezo Sika Deer",Artiodactyla,Cervidae,Cervus,nippon,yesonensis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=223998,223998
"Canoidea Carnivores","Polar Bear",Carnivora,Ursidae,Ursus,maritimus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=29073,29073
"Even-toed Ungulates","Bactrian Camel",Artiodactyla,Camelidae,Camelus,bactrianus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9837,9837
Cetacea,"Minke Whale",Cetacea,Balaenoptridae,Balaenoptera,acutorostrata,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9767,9767
Marsupials,"Tiger Quoll",Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9281,9281
Pilosa,"Giant Anteater",Pilosa,Myrmecophagidae,Mymecophaga,tridactyla,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=71006,71006
"Non-human primates","Greater Galago",Primates,Galagidae,Otolemur,crassicaudatus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9463,9463
"Canoidea Carnivores","Grizzly Bear",Carnivora,Ursidae,Ursus,arctos,horribilis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=116960,116960
"Canoidea Carnivores","Ezo Brown Bear",Carnivora,Ursidae,Ursus,arctos,yesoensis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9644,9644
"Even-toed Ungulates",Reindeer,Artiodactyla,Cervidae,Rangifer,tarandus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9870,9870
Pinnipeds,"Hooded Seal",Pinnipedia,Phocidae,Cystophora,cristata,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=39293,39293
Marsupials,"Brushtail Possum",Diprotodontia,Phalangeridae,Trichosurus,vulpecula,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9337,9337
"Feloidea Carnivores","African Lion",Carnivora,Felidae,Panthera,leo,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1446311,1446311
"Non-human primates",Orangutan,Primates,Pongidae,Pongo,pygmaeus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9600,9600
Marsupials,"Eastern Quoll",Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9279,9279
"Even-toed Ungulates",Sheep,Artiodactyla,Bovidae,Ovis,aires,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9940,9940
"Non-human primates","Mantled Howler",Primates,Atelidae,Alouatta,palliata,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=30589,30589
Cetacea,Beluga,Cetacea,Monodontidae,Delphinapterus,leucas,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9749,9749
"Even-toed Ungulates",Pig,Artiodactyla,Suidae,Sus,scrofa,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9825,9825
"Canoidea Carnivores","Domestic Dog",Carnivora,Canidae,Canis,lupus,familiaris,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9615,9615
"Non-human primates",Gorilla,Primates,Pongidae,Gorilla,gorilla,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9595,9595
"Even-toed Ungulates",Goat,Artiodactyla,Bovidae,Capra,aegagrus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9923,9923
"Even-toed Ungulates",Giraffe,Artiodactyla,Giraffidae,Giraffa,camelopardalis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9894,9894
"Non-human primates","Coquerel's Sifaka",Primates,Indriidae,Propithecus,coquereli,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=379532,379532
"Non-human primates","Brown Capuchin",Primates,Cebidae,Sapajus,apella,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9515,9515
