isomer_ID,Fucosylated,Acidic,Neutral,Basic Core Type,isomer_name,Hex,HexNAc,Fuc,Neu5Ac,isomer_suffix,Neu5Gc,CoreType_1,CoreType_2,has_linkage,has_Neu5Gc
3_1_0_1_0a,1,,1,"Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc (LST a)",3,1,0,1,"a  ",0,1,,1,
3_1_0_2_0a,,1,,1,"Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc (DSLNT)",3,1,0,2,"a  ",0,1,,1,
3_1_1_0_0a,1,,1,1,"Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc (LNFP I)",3,1,1,0,"a  ",0,1,,1,
3_1_1_0_0b,1,,1,1,"Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc (LNFP II)",3,1,1,0,"b  ",0,1,,1,
3_1_1_0_0e,1,,1,1,"Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc (LNFP V)",3,1,1,0,"e  ",0,1,,1,
1_1_0_1_0c,,1,,,Hex+HexNAc+Neu5Ac,1,1,0,1,"c  ",0,,,,
1_1_0_1_0d,,1,,,Hex+HexNAc+Neu5Ac,1,1,0,1,"d  ",0,,,,
1_1_0_1_0e,,1,,,Hex+HexNAc+Neu5Ac,1,1,0,1,"e  ",0,,,,
3_1_1_1_0e,1,1,,1,"Neu5Ac+Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc (S LNFP II)",3,1,1,1,"e  ",0,1,,1,
3_1_1_1_0g,1,1,,1,"Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc (F-LSTa)",3,1,1,1,"g  ",0,1,,1,
1_1_0_1_0h,,1,,,Hex+HexNAc+Neu5Ac,1,1,0,1,"h  ",0,,,,
1_1_0_1_0i,,1,,,Hex+HexNAc+Neu5Ac,1,1,0,1,"i  ",0,,,,
1_1_0_1_0j,,1,,,Hex+HexNAc+Neu5Ac,1,1,0,1,"j  ",0,,,,
3_1_1_1_0h,1,1,,1,"Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc (F-LSTb)",3,1,1,1,"h  ",0,1,,1,
1_1_0_2_0b,,1,,,Hex+HexNAc+2Neu5Ac,1,1,0,2,"b  ",0,,,,
