Category,Common Name,Order,Family,Genus,Species,Subspecies,count Unq Oligos,cnt unq Oligos match Humans,count w linkage,cnt link match Humans,count Core1,cnt Core1 match Humans,count Core2,cnt Core2 match Humans,count Fuc,cnt Fuc match Humans,count Acidic,cnt Acidic match Humans,count Neutral,cnt Neutral match Humans,count wNeu5Gc,cnt Neu5Gc match Humans,NCBITaxID
"Even-toed Ungulates",Addax,Aritodactyla,Bovidae,Addax,nasomaculatus,"",8,2,8,2,0,0,0,0,0,0,8,2,0,0,5,0,59515
"Even-toed Ungulates",Sitatunga,Aritodactyla,Bovidae,Tragelaphus,spekii,"",4,2,4,2,0,0,0,0,0,0,2,2,2,0,0,0,69298
"Even-toed Ungulates","Bactrian Camel",Artiodactyla,Camelidae,Camelus,bactrianus,"",44,27,10,7,0,0,2,2,14,8,22,11,22,16,7,0,9837
"Even-toed Ungulates",Cow,Artiodactyla,Bovidae,Bos,taurus,"",143,50,64,23,4,4,10,5,23,12,58,16,85,34,18,0,9913
"Even-toed Ungulates","Dromedary Camel",Artiodactyla,Camelidae,Camelus,dromedarius,"",43,18,39,16,0,0,7,5,6,5,21,6,22,12,5,0,9838
"Even-toed Ungulates",Giraffe,Artiodactyla,Giraffidae,Giraffa,camelopardalis,"",8,6,8,6,3,3,0,0,5,5,1,0,7,6,0,0,9894
"Even-toed Ungulates",Goat,Artiodactyla,Bovidae,Capra,aegagrus,"",189,55,61,26,6,6,11,7,26,19,87,16,102,39,45,0,9923
"Even-toed Ungulates",Pig,Artiodactyla,Suidae,Sus,scrofa,"",166,59,70,24,6,5,17,7,27,17,80,24,86,35,3,0,9825
"Even-toed Ungulates",Reindeer,Artiodactyla,Cervidae,Rangifer,tarandus,"",4,4,4,4,0,0,1,1,0,0,2,2,2,2,0,0,9870
"Even-toed Ungulates",Sheep,Artiodactyla,Bovidae,Ovis,aires,"",66,26,34,13,0,0,4,2,8,7,36,8,30,18,23,0,9940
"Even-toed Ungulates","Water Buffalo",Artiodactyla,Bovidae,Bubalus,bubalis,"",50,26,29,18,1,1,8,7,7,7,23,10,27,16,3,0,89462
"Even-toed Ungulates",Yak,Artiodactyla,Bovidae,Bos,grunniens,"",10,6,10,6,3,1,2,2,2,2,2,2,8,4,0,0,30521
"Even-toed Ungulates","Yezo Sika Deer",Artiodactyla,Cervidae,Cervus,nippon,yesonensis,4,3,4,3,0,0,1,1,0,0,0,0,4,3,0,0,223998
"Canoidea Carnivores","Black Bear",Carnivora,Ursidae,Ursus,americanus,"",19,11,19,11,6,6,5,1,13,8,5,2,14,9,0,0,9643
"Canoidea Carnivores",Coati,Carnivora,Procyonidae,Nasua,nasua,"",5,3,5,3,1,1,2,1,2,2,0,0,5,3,0,0,352831
"Canoidea Carnivores","Domestic Dog",Carnivora,Canidae,Canis,lupus,familiaris,42,23,9,7,1,1,2,2,17,9,16,11,26,12,0,0,9615
"Canoidea Carnivores","Ezo Brown Bear",Carnivora,Ursidae,Ursus,arctos,yesoensis,6,1,6,1,0,0,3,0,5,1,0,0,6,1,0,0,9644
"Canoidea Carnivores","Grizzly Bear",Carnivora,Ursidae,Ursus,arctos,horribilis,7,7,7,7,4,4,1,1,5,5,0,0,7,7,0,0,116960
